source,title,category,url,published_at,discovered_at,project_no,budget,deadline
工信部要闻,工业和信息化部召开党组会议和干部大会 学习贯彻习近平总书记重要指示和全国先进制造业大会精神,其他,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_c6aff1cc2d094936aaca2f131389d3f8.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,工业和信息化部召开部分省份工业经济运行座谈会,其他,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_ab5c2644b3134b74b1d1267af2198bc4.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,工业和信息化部等五部门关于组织开展2026年度国家绿色算力设施推荐工作的通知,通信与算力,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_37e463f44fbd44ed9b0fdf4833c3aacd.html,,2026-09-21T09:48:57.095873+00:00,工信厅联节函〔2026〕433号,,
工信部要闻,工业和信息化部等十部门关于印发《医药工业发展“十五五”规划》的通知,其他,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_9463adac4db040159f6cbf482675eeea.html,,2026-09-21T09:48:57.095873+00:00,工信部联规〔2026〕210号,,
工信部要闻,两部门关于印发《电子信息制造业发展“十五五”规划》的通知,其他,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_f4864217588b44c489d58da20de766c8.html,,2026-09-21T09:48:57.095873+00:00,工信部联规〔2026〕216号,,
工信部要闻,工业和信息化部等九部门关于印发《智能网联新能源汽车产业发展“十五五”规划》的通知,产业与资本,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_47e6f99ffbe945279ef3ffd23c5b3631.html,,2026-09-21T09:48:57.095873+00:00,工信部联规函〔2026〕305号,,
工信部要闻,工业和信息化部关于印发《信息通信行业发展“十五五”规划》的通知,通信与算力,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_456511e63be14508aa5b0d113af559fe.html,,2026-09-21T09:48:57.095873+00:00,工信部规〔2026〕188号,,
工信部要闻,工业和信息化部等六部门关于印发《关于推动历史经典产业高质量发展的意见》的通知,产业与资本,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_6d9ac16698c0431eb4e202a53143bc9f.html,,2026-09-21T09:48:57.095873+00:00,工信部联消费〔2026〕204号,,
工信部要闻,工业和信息化部举行新闻发布会 介绍智能网联新能源汽车产业高质量发展情况,产业与资本,https://www.miit.gov.cn/xwfb/xwfbh/bxwfbh/art/2026/art_05c4683ad9ee4c3c880485f7a8873601.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,工业和信息化部举行《“人工智能+软件”专项行动实施方案》新闻发布会,产业与资本,https://www.miit.gov.cn/xwfb/xwfbh/bxwfbh/art/2026/art_95c0b992336a4cb1b87ec3ccc576a669.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,工业和信息化部介绍全力抓好“十五五”规划实施、加快推进新型工业化有关情况,其他,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_934ddb14d33e4cd5b787d88a15c5c0eb.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,工业和信息化部等五部门组织开展2026年度国家绿色算力设施推荐工作,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/sjdt/art/2026/art_cbd9a41d5f834b9a928205c30766f028.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,江西通信管理局部署“人工智能+信息通信”创新发展专项行动,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/dfdt/art/2026/art_6051e1e6e8284b8aa1ae1f2dfcf3b321.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,一图读懂《关于组织开展2026年度国家绿色算力设施推荐工作的通知》,通信与算力,https://www.miit.gov.cn/zwgk/zcjd/art/2026/art_8d9e7eef55664db9bf672bcd4d3464d9.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,青海通信管理局召开树立和践行正确政绩观学习教育总结会,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/dfdt/art/2026/art_4f0cdf25297e4505b303dd4ef080a288.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,青海通信管理局举办学习贯彻习近平党建思想专题辅导讲座,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/dfdt/art/2026/art_b8ec87d5567748578ca49a332e101d42.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,海南通信管理局召开党组（扩大）会议 总结树立和践行正确政绩观学习教育,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/dfdt/art/2026/art_26c4277f3531453086b812ab1e1d8535.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,青海通信管理局举办信息通信业优秀中青年干部培训班—传承““两弹一星”精神”凝聚砥砺奋进力量,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/dfdt/art/2026/art_0f7dd3da494b44c0835870c6849c4019.html,,2026-09-21T09:48:57.095873+00:00,,,
工信部要闻,工业和信息化部举行“第32次亚太经合组织（APEC）中小企业部长会议新闻通气会”,其他,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_0c0a3ae10f1b41d88813ab3ad5f6df54.html,,2026-09-21T09:48:57.095873+00:00,,,
